種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,1.8,17,0,17,1,1,5,1,6,2,1,1,15.0,9,0,15,6,0,4,3,1.0,0.176,-,3.75
Visitor,1.93,21,0,21,1,0,6,3,7,4,1,0,18.2,11,1,21,6,0,4,4,0.91,0.172,-,4.67
