NOI451.3,GPA.223,RC1.64,RC274.91,XR1.67,XR275.00,RCAA0.26,XR+0.27,RCWIN0.03,XRWIN0.03,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.50,0.185,7.00,3.50,0.000,-,0.400,0.875,0.00,42.9%,
