NOI454.6,GPA.241,RC51.96,RC274.51,XR50.59,XR274.39,RCAA7.46,XR+5.57,RCWIN0.86,XRWIN0.64,BABIP.329
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.41,0.063,13.70,5.65,0.088,102.25,0.191,0.635,6.32,25.9%,
