左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
35.1% (114),35.1% (114),35.1% (114),25.8% (84),25.8% (84),25.8% (84),39.1% (127),39.1% (127),39.1% (127)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
37.4% (40),0.0% (0),34.6% (74),36.4% (39),0.0% (0),21.0% (45),26.2% (28),100.0% (4),44.4% (95)
