球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
スライダー,120,40.8%,127.1,21,26,17,47,53.3%,44.7%,.056,18,1,0,11,3,1
シュート,82,27.9%,141.4,3,10,17,38,36.6%,8.8%,.375,16,6,0,2,3,1
ストレート,67,22.8%,141.8,2,17,9,25,41.8%,8.0%,.429,14,6,0,1,5,1
カットボール,17,5.8%,133.7,4,2,4,4,58.8%,36.4%,.000,4,0,0,1,0,0
シンカー,6,2.0%,131.5,2,0,1,2,50.0%,50.0%,.500,2,1,0,1,0,0
チェンジアップ,2,0.7%,118.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
