NOI383.5,GPA.197,RC2.04,RC272.20,XR2.09,XR272.26,RCAA-1.19,XR+-1.16,RCWIN-0.14,XRWIN-0.14,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.36,0.096,8.50,3.09,0.034,-,0.172,0.458,-,44.1%,
