打率.279,試合75,打席166,打数147,得点7,安打41,内安2,内安率4.9,２Ｂ4,３Ｂ0,本塁0,HR勝敗0,塁打45,打点19,三振17
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
12,0,0,1,6,0,0,-,3,0,4,.256,.321,.306,.627
