打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,31,6,0.194,0,2,2,0,0,0.242
2打席目,31,11,0.355,0,3,0,1,1,0.344
3打席目,28,7,0.25,0,4,4,0,1,0.333
4打席目,15,5,0.333,0,2,3,0,0,0.444
5打席目以上,3,1,0.333,0,1,0,0,0,0.333
