連続項目,フラグ (現状値 / 最高値)
安打,1打席 / 4打席
本塁打,0打席 / 1打席
無安打,1打席 / 22打席
三振,0打席 / 5打席
無三振,2打席 / 13打席
出塁,2打席 / 4打席
