アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,2,11.1%,安打,7,63.6%
フライ,2,11.1%,四死球,4,36.4%
空三振,9,50.0%,失策出塁,0,0.0%
見三振,5,27.8%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
