NOI446.5,GPA.240,RC66.15,RC274.59,XR65.35,XR274.54,RCAA11.72,XR+10.27,RCWIN1.35,XRWIN1.19,BABIP.295
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.40,0.053,17.28,6.91,0.122,50.70,0.221,0.664,14.29,22.1%,
