月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.272,25,112,103,14,28,8,0,1,39,7,10,7,0,1,0,1,8,1,0,.321,.379,0.7
5月,.278,24,109,97,12,27,5,1,2,40,5,12,8,1,3,1,0,3,3,0,.352,.412,0.764
6月,.233,22,98,90,8,21,2,0,1,26,5,20,6,0,1,0,1,3,1,0,.286,.289,0.575
7月,.261,22,94,88,10,23,3,0,2,32,5,13,5,0,0,1,0,4,0,1,.301,.364,0.665
8月,.333,5,23,21,4,7,1,0,1,11,4,5,1,0,0,0,1,2,1,1,.348,.524,0.872
9月,.239,22,98,92,13,22,5,2,3,40,9,18,3,0,3,0,0,4,0,1,.286,.435,0.72
10月,.375,4,19,16,3,6,2,0,0,8,3,2,2,0,1,0,0,1,1,0,.474,.500,0.974
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
