打率.264,試合124,打席553,打数507,得点64,安打134,内安10,内安率7.5,２Ｂ26,３Ｂ3,本塁10,HR勝敗4-5-1,塁打196,打点38,三振80
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
32,1,9,2,3,25,7,78.1,3,0,4,.256,.318,.387,.704
