HQS率-,SQS率-,被打率.211,被BABIP.308,被出塁率.274,被長打率.281,K/BB3.60,K/99.92,BB/92.76,HR/90.00,GO/AO0.69,援護率-,IPR8.17,NHB%35.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.45,88.2%,4.07,0.47,3.52,109,3.1,0,0,16.1,2,5,12,
