NOI0.0,GPA.000,RC-0.22,RC27-2.92,XR-0.20,XR27-2.65,RCAA-0.41,XR+-0.39,RCWIN-0.05,XRWIN-0.05,BABIP-
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.00,0.000,-,0.000,0.000,-,100.0%,
