NOI348.1,GPA.201,RC0.92,RC273.12,XR1.23,XR274.16,RCAA-0.06,XR+0.24,RCWIN-0.01,XRWIN0.03,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.022,-,1.67,0.222,-,0.222,0.571,-,60.0%,
