NOI254.2,GPA.134,RC0.48,RC270.77,XR0.51,XR270.81,RCAA-1.49,XR+-1.48,RCWIN-0.17,XRWIN-0.17,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.054,-,4.00,0.067,-,0.067,0.308,-,25.0%,
