アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,6,60.0%,安打,5,55.6%
フライ,3,30.0%,四死球,4,44.4%
空三振,0,0.0%,失策出塁,0,0.0%
見三振,1,10.0%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
