HQS率-,SQS率-,被打率.333,被BABIP.357,被出塁率.474,被長打率.400,K/BB0.25,K/92.45,BB/99.82,HR/90.00,GO/AO2.00,援護率-,IPR1.22,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.50,66.7%,-1.67,-0.20,-1.79,11,2.0,0,0,3.2,3,0,2,
