球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
神宮,.225,35,136,129,8,29,7,1,0,38,7,11,4,1,1,1,1,1,0,2,.252,.295,0.546
東京ドーム,.053,5,20,19,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,.100,.053,0.153
甲子園,.455,3,12,11,1,5,1,0,0,6,0,1,1,0,0,0,0,0,0,0,.500,.545,1.045
横浜,.125,5,16,16,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.125,.125,0.25
マツダスタジアム,.300,5,20,20,4,6,2,0,0,8,0,3,0,0,0,0,0,0,0,0,.300,.400,0.7
バンテリンドーム,.292,7,27,24,2,7,0,1,0,9,3,2,1,0,0,2,0,0,0,0,.320,.375,0.695
Ce その他,.333,2,9,9,2,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,.333,.444,0.778
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,.368,5,21,19,1,7,3,0,0,10,1,1,1,0,0,0,1,0,0,1,.381,.526,0.907
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
