打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
1番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
2番,.281,41,175,167,19,47,12,2,0,63,11,18,5,0,0,1,2,1,0,3,.299,.377,0.676
3番,.000,2,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
4番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
5番,.167,7,27,24,1,4,0,0,0,4,1,0,1,1,1,1,0,0,0,0,.231,.167,0.397
6番,.176,5,18,17,0,3,1,0,0,4,0,1,0,0,0,1,0,0,0,0,.176,.235,0.412
7番,.143,4,15,14,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.200,.143,0.343
8番,.182,3,12,11,0,2,1,0,0,3,1,0,1,0,0,0,0,0,0,0,.250,.273,0.523
9番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
