球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,461,47.3%,147.2,20,86,94,159,43.4%,9.3%,.241,108,26,0,11,5,0
スライダー,133,13.7%,129.4,5,26,20,51,38.3%,8.9%,.176,34,6,0,3,1,0
カットボール,112,11.5%,136.6,8,15,34,26,50.9%,11.3%,.233,30,7,0,1,0,0
フォーク,56,5.7%,136.9,0,9,14,18,41.1%,0.0%,.400,15,6,0,0,0,0
チェンジアップ,53,5.4%,130.6,5,4,11,21,37.7%,17.9%,.188,16,3,0,4,1,0
ツーシーム,44,4.5%,141.1,1,9,8,14,40.9%,4.8%,.308,13,4,0,1,0,0
カーブ,39,4.0%,116.5,0,10,3,16,33.3%,0.0%,.300,10,3,0,0,0,0
スプリット,36,3.7%,141.3,1,2,8,12,30.6%,4.5%,.231,13,3,0,0,0,0
ナックルカーブ,12,1.2%,125.4,2,3,1,4,50.0%,40.0%,.333,3,1,0,1,0,0
シュート,10,1.0%,144.7,0,1,5,2,60.0%,0.0%,.000,2,0,0,0,0,0
シンカー,9,0.9%,134.4,2,0,4,2,66.7%,28.6%,.000,1,0,0,0,0,0
縦スライダー,4,0.4%,127.3,0,1,0,2,25.0%,0.0%,1.000,1,1,0,0,0,0
スラーブ,3,0.3%,123.3,0,1,1,0,66.7%,0.0%,.000,1,0,0,0,0,0
スクリュー,2,0.2%,137.5,0,1,0,1,50.0%,-%,-,0,0,0,0,0,1
