NOI294.5,GPA.157,RC0.80,RC270.45,XR0.87,XR270.49,RCAA-4.52,XR+-4.48,RCWIN-0.53,XRWIN-0.53,BABIP.227
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.20,0.029,28.00,5.60,0.056,-,0.074,0.292,-,21.4%,
