HQS率0.0%,SQS率0.0%,被打率.246,被BABIP.290,被出塁率.302,被長打率.365,K/BB2.89,K/96.69,BB/92.31,HR/90.51,GO/AO1.19,援護率3.38,IPR3.22,NHB%36.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.88,74.0%,-0.29,-0.03,1.56,135,9.1,8,3,29.0,9,8,15,
