アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,38,38.8%,安打,31,72.1%
フライ,32,32.7%,四死球,11,25.6%
空三振,20,20.4%,失策出塁,1,2.3%
見三振,6,6.1%,野選,0,0.0%
犠打,2,2.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
