アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,15,34.1%,安打,17,54.8%
フライ,8,18.2%,四死球,12,38.7%
空三振,16,36.4%,失策出塁,2,6.5%
見三振,3,6.8%,野選,0,0.0%
犠打,2,4.5%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
