条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.215,75,65,14,1,0,2,15,7,3,0,0
対左投手,0.2,5,5,1,0,0,0,2,0,0,0,0
