NOI148.1,GPA.078,RC-0.64,RC27-1.08,XR-0.50,XR27-0.85,RCAA-2.35,XR+-2.22,RCWIN-0.28,XRWIN-0.26,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.25,0.000,-,0.000,0.125,-,44.4%,
