条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,1,0,1,0,0,0,0,0,0,0,0,0,2
敗戦,1,1,6,1,3,5,0,0,0,0,0,0,17
勝敗無,0,0,2,1,0,0,0,0,0,0,0,0,3
