防御率3.58,試合11,先発11,救援0,連投(試)0,連投(日)0,勝利5,敗戦5,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,55.1,239,923,16.7,51,5,47,29,0,0,0,0,22,22,1.45,18.2%
