HQS率0.0%,SQS率0.0%,被打率.250,被BABIP.299,被出塁率.340,被長打率.373,K/BB1.62,K/97.64,BB/94.72,HR/90.81,GO/AO0.57,援護率2.79,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.78,79.5%,-1.44,-0.17,-3.31,216,0.0,58,18,0.0,0,0,0,
