アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,39,24.7%,安打,51,63.0%
フライ,68,43.0%,四死球,29,35.8%
空三振,39,24.7%,失策出塁,1,1.2%
見三振,8,5.1%,野選,0,0.0%
犠打,4,2.5%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
