左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
38.0% (171),38.0% (171),38.0% (171),26.0% (117),26.0% (117),26.0% (117),36.0% (162),36.0% (162),36.0% (162)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
38.7% (58),- (0),37.7% (113),36.0% (54),- (0),21.0% (63),25.3% (38),- (0),41.3% (124)
