打率.282,試合143,打席625,打数531,得点65,安打150,内安24,内安率16.0,２Ｂ18,３Ｂ3,本塁0,HR勝敗0,塁打174,打点30,三振77
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
44,1,3,44,3,19,7,73.1,2,0,5,.259,.339,.328,.667
