月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.278,26,114,97,15,27,5,1,0,34,4,12,10,0,0,7,0,4,0,0,.346,.351,0.696
5月,.315,25,114,89,14,28,2,1,0,32,6,15,13,1,2,9,1,3,2,0,.410,.360,0.769
6月,.338,22,98,80,8,27,2,0,0,29,7,7,8,0,1,8,1,4,1,1,.400,.363,0.763
7月,.220,22,97,82,10,18,2,0,0,20,2,18,7,0,0,8,0,3,0,1,.281,.244,0.525
8月,.313,25,111,96,10,30,3,0,0,33,6,12,5,0,0,9,1,5,2,0,.343,.344,0.687
9月,.229,22,87,83,7,19,3,1,0,24,5,13,1,0,0,3,0,0,2,0,.238,.289,0.527
10月,.250,1,4,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.250,.500,0.75
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
