NOI448.3,GPA.235,RC65.36,RC274.01,XR63.76,XR273.91,RCAA5.96,XR+4.05,RCWIN0.70,XRWIN0.48,BABIP.328
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.57,0.057,14.20,8.12,0.045,-,0.151,0.593,0.00,19.4%,
