アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,184,43.6%,安打,150,73.5%
フライ,119,28.2%,四死球,47,23.0%
空三振,57,13.5%,失策出塁,6,2.9%
見三振,20,4.7%,野選,1,0.5%
犠打,42,10.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
