条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.500,6,6,3,0,0,0,0,0,0,0,0,.500
1-0より,.667,3,3,2,0,0,1,0,0,0,0,0,.667
2-0より,1.000,1,1,1,0,0,0,0,0,0,0,0,1.000
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,1.000,2,1,1,0,0,0,0,0,0,1,0,1.000
1-1より,.000,3,2,0,0,0,0,0,0,0,1,0,.000
2-1より,-,0,0,0,0,0,0,0,0,0,0,0,-
3-1より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-2より,.000,2,2,0,0,0,0,0,0,0,0,0,.000
1-2より,.143,7,7,1,0,0,0,2,0,0,0,0,.143
2-2より,.667,6,6,4,1,0,0,0,0,0,0,0,.667
3-2より,.400,6,5,2,0,0,0,1,1,0,0,0,.500
