HQS率-,SQS率-,被打率.424,被BABIP.448,被出塁率.441,被長打率.545,K/BB3.00,K/93.38,BB/91.13,HR/91.13,GO/AO1.29,援護率-,IPR1.14,NHB%28.6%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.02,58.8%,-4.10,-0.48,-4.36,24,3.0,0,0,8.0,7,2,4,
