条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.235,326,298,70,14,0,5,83,18,5,2,3
対左打者,0.215,340,297,64,5,1,8,78,32,1,6,4
