HQS率50.0%,SQS率54.2%,被打率.225,被BABIP.283,被出塁率.289,被長打率.326,K/BB3.22,K/99.02,BB/92.80,HR/90.73,GO/AO1.02,援護率4.04,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.83,78.6%,4.71,0.54,7.26,572,0.0,165,74,0.0,0,0,0,
