アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,150,32.2%,安打,134,67.0%
フライ,147,31.5%,四死球,56,28.0%
空三振,117,25.1%,失策出塁,10,5.0%
見三振,44,9.4%,野選,0,0.0%
犠打,8,1.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
