球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,1243,48.1%,148.7,100,255,259,425,49.4%,17.8%,.239,272,65,10,78,35,5
スプリット,857,33.2%,139.8,191,51,159,295,46.8%,37.4%,.208,226,47,2,68,13,0
スライダー,388,15.0%,134.1,59,72,59,122,49.0%,30.4%,.213,89,19,1,15,2,1
ナックルカーブ,88,3.4%,123.3,1,26,8,45,39.8%,5.9%,.375,8,3,0,0,0,0
フォーク,7,0.3%,133.6,2,0,0,5,28.6%,100.0%,-,0,0,0,0,0,0
