種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,1.8,3,3,0,1,1,0,0,0,0,0,0,15.0,17,1,13,6,0,7,3,1.53,0.27,2.65,-
Nighter,2.72,21,21,0,8,7,0,0,0,0,0,0,145.2,117,12,148,44,6,48,44,1.11,0.22,4.2,-
