種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,2.26,16,16,0,7,4,0,0,0,0,0,0,111.1,76,6,118,35,3,31,28,1.0,0.192,4.21,-
Visitor,3.47,8,8,0,2,4,0,0,0,0,0,0,49.1,58,7,43,15,3,24,19,1.48,0.291,3.7,-
