HQS率-,SQS率-,被打率.239,被BABIP.352,被出塁率.301,被長打率.297,K/BB4.25,K/911.06,BB/92.60,HR/90.00,GO/AO1.31,援護率-,IPR3.46,NHB%36.2%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.20,76.8%,4.56,0.53,4.69,566,10.1,0,0,55.1,16,21,46,
