防御率2.28,試合58,先発0,救援58,連投(試)0,連投(日)0,勝利3,敗戦6,HLD9,Ｓ28,ＨＰ12,ＳＰ31,救勝3,救敗6,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,55.1,233,893,16.1,50,0,68,16,2,3,0,0,16,14,1.19,-
