アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,175,45.6%,安打,144,77.8%
フライ,148,38.5%,四死球,39,21.1%
空三振,51,13.3%,失策出塁,2,1.1%
見三振,10,2.6%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
