球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,161,62.2%,145.9,17,35,39,44,56.5%,20.7%,0.189,37,7,1,11,1,0
チェンジアップ,49,18.9%,125.3,6,1,10,25,34.7%,26.1%,0.231,13,3,1,6,2,0
カットボール,38,14.7%,137.2,3,6,9,16,47.4%,18.8%,0.125,8,1,0,4,0,0
カーブ,11,4.2%,113.8,1,6,0,3,63.6%,50.0%,1.0,1,1,0,0,0,0
