HQS率-,SQS率-,被打率.203,被BABIP.278,被出塁率.242,被長打率.322,K/BB7.00,K/911.81,BB/91.69,HR/91.13,GO/AO0.63,援護率-,IPR8.00,NHB%43.8%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.33,106.6%,3.81,0.45,3.28,48,2.0,0,0,16.0,2,7,14,
