球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,839,31.9%,143.0,35,187,199,247,50.2%,8.6%,0.287,188,54,3,31,15,0
ツーシーム,594,22.6%,135.4,55,80,108,201,40.9%,17.6%,0.224,170,38,3,21,9,0
カットボール,505,19.2%,135.2,37,122,84,143,48.1%,15.4%,0.26,127,33,3,19,12,1
スライダー,229,8.7%,124.9,32,55,23,78,48.0%,33.3%,0.292,48,14,2,7,0,0
チェンジアップ,189,7.2%,125.6,34,13,26,83,38.6%,36.6%,0.179,39,7,1,6,1,0
パーム,159,6.0%,113.0,21,20,18,68,37.1%,29.6%,0.146,48,7,1,16,1,0
カーブ,89,3.4%,115.9,0,32,8,40,44.9%,0.0%,0.222,9,2,0,0,1,0
ナックルカーブ,25,1.0%,123.1,3,3,7,7,52.0%,20.0%,0.429,7,3,0,2,0,0
