条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
無し,0.303,251,231,70,15,1,5,45,19,1,0,0,0.359
1塁,0.278,92,79,22,4,0,3,17,5,0,8,0,0.321
2塁,0.255,58,47,12,3,0,0,11,10,1,0,0,0.397
3塁,0.143,8,7,1,0,0,0,2,1,0,0,0,0.25
1・2塁,0.125,41,32,4,3,0,0,5,5,0,4,0,0.243
1・3塁,0.333,15,12,4,0,0,0,2,2,0,0,1,0.4
2・3塁,0.667,15,9,6,2,0,0,2,3,0,0,3,0.6
満塁,0.333,17,15,5,1,0,0,3,1,0,0,1,0.353
得点圏,0.262,154,122,32,9,0,0,25,22,1,4,5,0.367
