HQS率10.0%,SQS率15.0%,被打率.287,被BABIP.339,被出塁率.355,被長打率.412,K/BB1.89,K/97.05,BB/93.73,HR/90.65,GO/AO0.78,援護率3.46,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.41,70.9%,-17.71,-2.08,-14.34,413,0.0,117,45,3.0,0,0,1,
