HQS率14.3%,SQS率14.3%,被打率.281,被BABIP.344,被出塁率.359,被長打率.411,K/BB2.00,K/98.05,BB/94.02,HR/90.85,GO/AO0.81,援護率2.02,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.60,74.4%,-14.77,-1.74,-16.58,379,0.0,125,28,0.0,0,0,0,
