条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.221,127,113,25,5,1,0,25,7,0,7,0
対左投手,0.227,49,44,10,1,0,0,7,3,1,1,0
