HQS率36.4%,SQS率36.4%,被打率.261,被BABIP.289,被出塁率.300,被長打率.385,K/BB3.15,K/95.88,BB/91.87,HR/90.97,GO/AO0.84,援護率4.15,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.51,77.8%,-3.81,-0.45,-1.07,470,0.0,141,65,0.0,0,0,0,
