条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.193,135,119,23,4,0,1,32,12,2,2,0
対左打者,0.122,102,90,11,0,0,1,34,5,0,6,1
