防御率0.87,試合66,先発0,救援66,連投(試)0,連投(日)0,勝利6,敗戦3,HLD46,Ｓ1,ＨＰ52,ＳＰ7,救勝6,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,62.0,237,924,14.9,34,2,66,17,3,2,1,1,8,6,0.82,-
