NOI504.2,GPA.273,RC87.68,RC275.64,XR87.23,XR275.61,RCAA28.75,XR+27.99,RCWIN3.39,XRWIN3.30,BABIP.288
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.63,0.075,11.48,7.21,0.188,23.87,0.291,0.778,8.21,26.3%,
