守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.223,25,110,94,13,21,2,0,5,38,19,17,12,1,4,0,0,2,1,1,.336,.404,0.741
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,.289,114,498,443,69,128,22,5,18,214,70,68,42,3,8,0,5,3,1,3,.357,.483,0.841
指名打者,.000,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
途中出場,.333,3,6,6,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.333,.333,0.667
