球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,973,38.1%,147.5,24,189,178,380,40.2%,5.9%,.325,228,74,13,28,19,8
スライダー,335,13.1%,130.2,24,78,38,140,41.8%,20.5%,.261,69,18,4,15,5,0
カットボール,321,12.6%,138.0,22,78,54,118,48.0%,17.6%,.233,60,14,1,12,8,0
フォーク,202,7.9%,135.0,26,20,30,91,37.6%,28.6%,.244,45,11,2,10,4,0
チェンジアップ,201,7.9%,130.0,14,39,25,98,38.8%,21.9%,.429,28,12,2,3,6,1
カーブ,138,5.4%,117.3,6,44,16,55,47.8%,15.4%,.278,18,5,1,2,2,0
ツーシーム,117,4.6%,138.5,8,23,15,37,39.3%,14.0%,.167,36,6,0,2,1,2
スプリット,94,3.7%,140.1,19,8,16,41,45.7%,42.2%,.048,21,1,0,11,2,0
シュート,93,3.6%,145.4,1,14,17,35,34.4%,2.3%,.259,27,7,0,1,2,0
ナックルカーブ,27,1.1%,126.8,2,6,5,10,48.1%,18.2%,.000,4,0,0,0,0,0
シンカー,21,0.8%,131.2,0,3,2,13,23.8%,0.0%,.000,4,0,0,1,0,0
スクリュー,11,0.4%,136.5,1,2,1,5,36.4%,25.0%,.333,3,1,0,1,1,0
パーム,7,0.3%,114.7,1,1,2,2,57.1%,25.0%,.000,1,0,0,0,0,0
縦スライダー,4,0.2%,121.0,0,1,0,2,25.0%,0.0%,1.000,1,1,0,0,0,0
スローカーブ,3,0.1%,93.3,0,0,0,2,0.0%,0.0%,.000,1,0,0,0,0,0
ワンシーム,3,0.1%,147.0,0,0,0,0,0.0%,0.0%,.333,3,1,0,0,0,0
スラーブ,2,0.1%,108.5,0,2,0,0,100.0%,-%,-,0,0,0,0,0,0
パワーカーブ,1,0.0%,121.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,1
