条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.266,364,319,85,11,3,11,55,30,12,0,3
対左投手,0.287,256,230,66,13,2,12,31,24,0,0,2
