アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,141,36.0%,安打,151,66.2%
フライ,165,42.1%,四死球,66,28.9%
空三振,60,15.3%,失策出塁,11,4.8%
見三振,26,6.6%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
