球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,188,40.3%,148.7,18,28,39,63,45.2%,18.6%,.286,42,12,2,6,6,0
カットボール,128,27.5%,138.8,11,23,29,48,49.2%,19.3%,.087,23,2,0,6,7,1
スライダー,48,10.3%,132.5,7,9,9,19,52.1%,35.0%,.250,4,1,0,0,1,0
チェンジアップ,42,9.0%,137.0,6,6,3,19,35.7%,35.3%,.154,13,2,0,5,1,0
ツーシーム,33,7.1%,148.9,4,4,6,12,42.4%,23.5%,.100,10,1,0,3,2,0
ナックルカーブ,25,5.4%,126.7,0,6,1,18,28.0%,0.0%,-,0,0,0,0,0,0
スプリット,2,0.4%,136.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
